/home/mmv4000/MscProject/vla_sorting_env/lib/python3.12/site-packages/huggingface_hub/utils/_validators.py:189: UserWarning: The `resume_download` argument is deprecated and ignored in `hf_hub_download`. Downloads always resume whenever possible.
  warnings.warn(
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/mmv4000/MscProject/vla_sorting_env/lib/python3.12/site-packages/huggingface_hub/utils/_validators.py:189: UserWarning: The `resume_download` argument is deprecated and ignored in `hf_hub_download`. Downloads always resume whenever possible.
  warnings.warn(
The `load_in_4bit` and `load_in_8bit` arguments are deprecated and will be removed in the future versions. Please, pass a `BitsAndBytesConfig` object in `quantization_config` argument instead.
The model weights are not tied. Please use the `tie_weights` method before using the `infer_auto_device` function.
[INIT] Active training device: cuda
[INIT] Loading Processor: openvla/openvla-7b
[INIT] Loading Base Model in 4-bit quantization...
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:01<00:03,  1.54s/it]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:02<00:01,  1.43s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:03<00:00,  1.07it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:03<00:00,  1.08s/it]
[CONFIG] Wrapping model with fresh LoRA layers (clean start)...
trainable params: 16,777,216 || all params: 7,558,014,400 || trainable%: 0.2220
[DATA] Loading train and val splits...
[DATA] Loaded 30850 samples for split='train'
[DATA] Loaded 6620 samples for split='val'
[START] Beginning training...
Epoch [1/5] | Batch [770/15425] | Loss: 0.3585
Epoch [1/5] | Batch [780/15425] | Loss: 0.3058
Epoch [1/5] | Batch [790/15425] | Loss: 0.3730
Epoch [1/5] | Batch [800/15425] | Loss: 0.2699
Epoch [1/5] | Batch [810/15425] | Loss: 0.3863
Epoch [1/5] | Batch [820/15425] | Loss: 0.3251
Epoch [1/5] | Batch [830/15425] | Loss: 0.4419
Epoch [1/5] | Batch [840/15425] | Loss: 0.3453
Epoch [1/5] | Batch [850/15425] | Loss: 0.3126
Epoch [1/5] | Batch [860/15425] | Loss: 0.3252
Epoch [1/5] | Batch [870/15425] | Loss: 0.3278
Epoch [1/5] | Batch [880/15425] | Loss: 0.3152
Epoch [1/5] | Batch [890/15425] | Loss: 0.3075
Epoch [1/5] | Batch [900/15425] | Loss: 0.3922
Epoch [1/5] | Batch [910/15425] | Loss: 0.3030
Epoch [1/5] | Batch [920/15425] | Loss: 0.2561
Epoch [1/5] | Batch [930/15425] | Loss: 0.3219
Epoch [1/5] | Batch [940/15425] | Loss: 0.2768
Epoch [1/5] | Batch [950/15425] | Loss: 0.3222
Epoch [1/5] | Batch [960/15425] | Loss: 0.3892
Epoch [1/5] | Batch [970/15425] | Loss: 0.2849
Epoch [1/5] | Batch [980/15425] | Loss: 0.3430
Epoch [1/5] | Batch [990/15425] | Loss: 0.3057
  [VAL @ step 1000] val_loss=0.2821 | best=0.6073
  [BEST] New best model saved to vla_checkpoints/lora_best
  [CHECKPOINT] Saved at vla_checkpoints/lora_epoch_1_step_1000
Epoch [1/5] | Batch [1000/15425] | Loss: 0.2734
Epoch [1/5] | Batch [1010/15425] | Loss: 0.2624
Epoch [1/5] | Batch [1020/15425] | Loss: 0.2765
Epoch [1/5] | Batch [1030/15425] | Loss: 0.2543
Epoch [1/5] | Batch [1040/15425] | Loss: 0.3290
Epoch [1/5] | Batch [1050/15425] | Loss: 0.2684
Epoch [1/5] | Batch [1060/15425] | Loss: 0.3411
Epoch [1/5] | Batch [1070/15425] | Loss: 0.2580
Epoch [1/5] | Batch [1080/15425] | Loss: 0.2837
Epoch [1/5] | Batch [1090/15425] | Loss: 0.2615
Epoch [1/5] | Batch [1100/15425] | Loss: 0.2489
Epoch [1/5] | Batch [1110/15425] | Loss: 0.3115
Epoch [1/5] | Batch [1120/15425] | Loss: 0.2646
Epoch [1/5] | Batch [1130/15425] | Loss: 0.2443
Epoch [1/5] | Batch [1140/15425] | Loss: 0.2964
Epoch [1/5] | Batch [1150/15425] | Loss: 0.3025
Epoch [1/5] | Batch [1160/15425] | Loss: 0.2564
Epoch [1/5] | Batch [1170/15425] | Loss: 0.2352
Epoch [1/5] | Batch [1180/15425] | Loss: 0.2581
Epoch [1/5] | Batch [1190/15425] | Loss: 0.2158
Epoch [1/5] | Batch [1200/15425] | Loss: 0.2740
Epoch [1/5] | Batch [1210/15425] | Loss: 0.2243
Epoch [1/5] | Batch [1220/15425] | Loss: 0.2719
Epoch [1/5] | Batch [1230/15425] | Loss: 0.2593
Epoch [1/5] | Batch [1240/15425] | Loss: 0.2476
Epoch [1/5] | Batch [1250/15425] | Loss: 0.3440
Epoch [1/5] | Batch [1260/15425] | Loss: 0.2631
Epoch [1/5] | Batch [1270/15425] | Loss: 0.2468
Epoch [1/5] | Batch [1280/15425] | Loss: 0.2210
Epoch [1/5] | Batch [1290/15425] | Loss: 0.2383
Epoch [1/5] | Batch [1300/15425] | Loss: 0.2174
Epoch [1/5] | Batch [1310/15425] | Loss: 0.2471
Epoch [1/5] | Batch [1320/15425] | Loss: 0.2447
Epoch [1/5] | Batch [1330/15425] | Loss: 0.2896
Epoch [1/5] | Batch [1340/15425] | Loss: 0.2322
Epoch [1/5] | Batch [1350/15425] | Loss: 0.2484
Epoch [1/5] | Batch [1360/15425] | Loss: 0.2024
Epoch [1/5] | Batch [1370/15425] | Loss: 0.2588
Epoch [1/5] | Batch [1380/15425] | Loss: 0.2192
Epoch [1/5] | Batch [1390/15425] | Loss: 0.2177
Epoch [1/5] | Batch [1400/15425] | Loss: 0.2082
Epoch [1/5] | Batch [1410/15425] | Loss: 0.2302
Epoch [1/5] | Batch [1420/15425] | Loss: 0.2614
Epoch [1/5] | Batch [1430/15425] | Loss: 0.2558
Epoch [1/5] | Batch [1440/15425] | Loss: 0.2278
Epoch [1/5] | Batch [1450/15425] | Loss: 0.2662
Epoch [1/5] | Batch [1460/15425] | Loss: 0.2834
Epoch [1/5] | Batch [1470/15425] | Loss: 0.2440
Epoch [1/5] | Batch [1480/15425] | Loss: 0.2289
Epoch [1/5] | Batch [1490/15425] | Loss: 0.2528
  [VAL @ step 1500] val_loss=0.2411 | best=0.2821
  [BEST] New best model saved to vla_checkpoints/lora_best
  [CHECKPOINT] Saved at vla_checkpoints/lora_epoch_1_step_1500
Epoch [1/5] | Batch [1500/15425] | Loss: 0.2165
Epoch [1/5] | Batch [1510/15425] | Loss: 0.2467
Epoch [1/5] | Batch [1520/15425] | Loss: 0.2488
Epoch [1/5] | Batch [1530/15425] | Loss: 0.2636
Epoch [1/5] | Batch [1540/15425] | Loss: 0.2098
Epoch [1/5] | Batch [1550/15425] | Loss: 0.2273
Epoch [1/5] | Batch [1560/15425] | Loss: 0.2250
Epoch [1/5] | Batch [1570/15425] | Loss: 0.2294
Epoch [1/5] | Batch [1580/15425] | Loss: 0.2053
Epoch [1/5] | Batch [1590/15425] | Loss: 0.2164
Epoch [1/5] | Batch [1600/15425] | Loss: 0.2327
Epoch [1/5] | Batch [1610/15425] | Loss: 0.2519
Epoch [1/5] | Batch [1620/15425] | Loss: 0.2269
Epoch [1/5] | Batch [1630/15425] | Loss: 0.2418
Epoch [1/5] | Batch [1640/15425] | Loss: 0.2186
Epoch [1/5] | Batch [1650/15425] | Loss: 0.2070
Epoch [1/5] | Batch [1660/15425] | Loss: 0.2677
Epoch [1/5] | Batch [1670/15425] | Loss: 0.2485
Epoch [1/5] | Batch [1680/15425] | Loss: 0.2045
Epoch [1/5] | Batch [1690/15425] | Loss: 0.2466
Epoch [1/5] | Batch [1700/15425] | Loss: 0.2653
Epoch [1/5] | Batch [1710/15425] | Loss: 0.2225
Epoch [1/5] | Batch [1720/15425] | Loss: 0.2333
Epoch [1/5] | Batch [1730/15425] | Loss: 0.2297
Epoch [1/5] | Batch [1740/15425] | Loss: 0.1925
Epoch [1/5] | Batch [1750/15425] | Loss: 0.2371
Epoch [1/5] | Batch [1760/15425] | Loss: 0.2329
Epoch [1/5] | Batch [1770/15425] | Loss: 0.2359
Epoch [1/5] | Batch [1780/15425] | Loss: 0.2606
Epoch [1/5] | Batch [1790/15425] | Loss: 0.2379
Epoch [1/5] | Batch [1800/15425] | Loss: 0.2536
Epoch [1/5] | Batch [1810/15425] | Loss: 0.2045
Epoch [1/5] | Batch [1820/15425] | Loss: 0.2221
Epoch [1/5] | Batch [1830/15425] | Loss: 0.2572
Epoch [1/5] | Batch [1840/15425] | Loss: 0.2166
Epoch [1/5] | Batch [1850/15425] | Loss: 0.2308
Epoch [1/5] | Batch [1860/15425] | Loss: 0.2466
Epoch [1/5] | Batch [1870/15425] | Loss: 0.2404
Epoch [1/5] | Batch [1880/15425] | Loss: 0.2075
Epoch [1/5] | Batch [1890/15425] | Loss: 0.2099
Epoch [1/5] | Batch [1900/15425] | Loss: 0.2584
Epoch [1/5] | Batch [1910/15425] | Loss: 0.2479
Epoch [1/5] | Batch [1920/15425] | Loss: 0.2431
Epoch [1/5] | Batch [1930/15425] | Loss: 0.2506
Epoch [1/5] | Batch [1940/15425] | Loss: 0.2394
Epoch [1/5] | Batch [1950/15425] | Loss: 0.2417
Epoch [1/5] | Batch [1960/15425] | Loss: 0.2273
Epoch [1/5] | Batch [1970/15425] | Loss: 0.2302
Epoch [1/5] | Batch [1980/15425] | Loss: 0.2412
Epoch [1/5] | Batch [1990/15425] | Loss: 0.2215
  [VAL @ step 2000] val_loss=0.2256 | best=0.2411
  [BEST] New best model saved to vla_checkpoints/lora_best
  [CHECKPOINT] Saved at vla_checkpoints/lora_epoch_1_step_2000
Epoch [1/5] | Batch [2000/15425] | Loss: 0.1986
Epoch [1/5] | Batch [2010/15425] | Loss: 0.2749
Epoch [1/5] | Batch [2020/15425] | Loss: 0.2075
Epoch [1/5] | Batch [2030/15425] | Loss: 0.2356
Epoch [1/5] | Batch [2040/15425] | Loss: 0.2181
Epoch [1/5] | Batch [2050/15425] | Loss: 0.2412
Epoch [1/5] | Batch [2060/15425] | Loss: 0.1996
Epoch [1/5] | Batch [2070/15425] | Loss: 0.2199
Epoch [1/5] | Batch [2080/15425] | Loss: 0.1927
Epoch [1/5] | Batch [2090/15425] | Loss: 0.2385
Epoch [1/5] | Batch [2100/15425] | Loss: 0.2417
Epoch [1/5] | Batch [2110/15425] | Loss: 0.2418
Epoch [1/5] | Batch [2120/15425] | Loss: 0.1884
Epoch [1/5] | Batch [2130/15425] | Loss: 0.2415
Epoch [1/5] | Batch [2140/15425] | Loss: 0.2504
Epoch [1/5] | Batch [2150/15425] | Loss: 0.2110
Epoch [1/5] | Batch [2160/15425] | Loss: 0.2497
Epoch [1/5] | Batch [2170/15425] | Loss: 0.2097
Epoch [1/5] | Batch [2180/15425] | Loss: 0.1924
Epoch [1/5] | Batch [2190/15425] | Loss: 0.2410
Epoch [1/5] | Batch [2200/15425] | Loss: 0.2621
Epoch [1/5] | Batch [2210/15425] | Loss: 0.2073
Epoch [1/5] | Batch [2220/15425] | Loss: 0.2383
Epoch [1/5] | Batch [2230/15425] | Loss: 0.2000
Epoch [1/5] | Batch [2240/15425] | Loss: 0.2057
Epoch [1/5] | Batch [2250/15425] | Loss: 0.2315
Epoch [1/5] | Batch [2260/15425] | Loss: 0.2301
Epoch [1/5] | Batch [2270/15425] | Loss: 0.2220
Epoch [1/5] | Batch [2280/15425] | Loss: 0.2465
Epoch [1/5] | Batch [2290/15425] | Loss: 0.2080
Epoch [1/5] | Batch [2300/15425] | Loss: 0.2406
Epoch [1/5] | Batch [2310/15425] | Loss: 0.1948
Epoch [1/5] | Batch [2320/15425] | Loss: 0.2246
Epoch [1/5] | Batch [2330/15425] | Loss: 0.2116
Epoch [1/5] | Batch [2340/15425] | Loss: 0.2069
Epoch [1/5] | Batch [2350/15425] | Loss: 0.2437
Epoch [1/5] | Batch [2360/15425] | Loss: 0.2010
Epoch [1/5] | Batch [2370/15425] | Loss: 0.2463
Epoch [1/5] | Batch [2380/15425] | Loss: 0.2384
Epoch [1/5] | Batch [2390/15425] | Loss: 0.2116
Epoch [1/5] | Batch [2400/15425] | Loss: 0.2322
Epoch [1/5] | Batch [2410/15425] | Loss: 0.2009
Epoch [1/5] | Batch [2420/15425] | Loss: 0.2160
Epoch [1/5] | Batch [2430/15425] | Loss: 0.2162
Epoch [1/5] | Batch [2440/15425] | Loss: 0.1968
